"","SP","WT"
"1",104.1853528,28.7620589
"2",105.4612635,30.46683298
"3",105.4612635,30.19359657
"4",113.4612635,30.63211391
"5",104.4612635,29.88914864
"6",113.1853528,29.59176832
"7",105.4612635,30.30847957
"8",102.5985128,15.84775807
"9",102.5985128,16.35948352
"10",115.6452041,30.92015417
"11",111.1853528,29.36334142
"12",117.5985128,15.75353468
"13",122.1050553,32.81359241
"14",111.1853528,29.3784363
"15",108.1853528,29.34727902
"16",111.1853528,29.60452658
"17",114.3692933,29.5357836
"18",117.5985128,16.19412154
"19",114.3692933,29.92939368
"20",118.4729364,33.51697417
"21",119.1050553,32.32464971
"22",110.8408174,34.90821127
"23",120.2889958,32.6758277
"24",113.8291446,31.83712236
"25",119.1853528,28.78172789
"26",114.5985128,16.04317492
"27",120.7605199,38.06282335
"28",119.1050553,32.83506939
"29",99.56490661,34.4832075
"30",121.8408174,35.54935984
"31",113.4846092,37.04235003
"32",112.2889958,33.23436141
"33",119.9211148,31.38004084
"34",121.3926389,37.57328965
"35",111.2889958,32.701644
"36",115.0130851,31.9112234
"37",114.0933825,28.75400008
"38",116.909442,27.87991549
"39",116.909442,28.63050247
"40",128.4612635,30.11543403
"41",116.3926389,37.39252442
"42",115.7488471,35.02717556
"43",117.4612635,30.52742698
"44",114.0933825,28.34397592
"45",114.3809661,33.07863163
"46",117.1050553,32.62191589
"47",118.2086984,36.49861738
"48",116.4729364,33.91005598
"49",127.909442,28.07059654
"50",118.2889958,33.45847152
"51",118.2889958,33.21395395
"52",118.2889958,33.43671117
"53",120.4043117,40.39816357
"54",143.3926389,37.62069475
"55",135.3926389,37.25439197
"56",126.4043117,40.58906845
"57",110.4612635,30.14754329
"58",118.2889958,32.73451818
"59",112.6452041,30.61528334
"60",115.5765794,37.66287367
"61",130.2086984,36.88815313
"62",117.6685497,37.86041143
"63",126.0481035,43.3909885
"64",125.3123415,40.72283115
"65",128.128401,40.15948186
"66",126.5985128,15.71285853
"67",132.4846092,37.97995604
"68",133.6802225,41.57397476
"69",133.3123415,40.47204238
"70",158.3006687,37.14173328
"71",164.5985128,15.82306042
"72",133.4159845,44.01313857
"73",133.1400738,43.35312292
"74",124.7152409,52.99775236
"75",121.864163,42.61869847
"76",132.864163,42.77821864
"77",169.5985128,16.13294744
"78",150.5765794,37.92311321
"79",151.5985128,15.76962542
"80",167.9444604,39.42309899
"81",139.8408174,34.94861469
