Month,Sales
Jan-49,742
Feb-49,697
Mar-49,776
Apr-49,898
May-49,1030
Jun-49,1107
Jul-49,1165
Aug-49,1216
Sep-49,1208
Oct-49,1131
Nov-49,971
Dec-49,783
Jan-50,741
Feb-50,700
Mar-50,774
Apr-50,932
May-50,1099
Jun-50,1223
Jul-50,1290
Aug-50,1349
Sep-50,1341
Oct-50,1296
Nov-50,1066
Dec-50,901
Jan-51,896
Feb-51,793
Mar-51,885
Apr-51,1055
May-51,1204
Jun-51,1326
Jul-51,1303
Aug-51,1436
Sep-51,1473
Oct-51,1453
Nov-51,1170
Dec-51,1023
Jan-52,951
Feb-52,861
Mar-52,938
Apr-52,1109
May-52,1274
Jun-52,1422
Jul-52,1486
Aug-52,1555
Sep-52,1604
Oct-52,1600
Nov-52,1403
Dec-52,1209
Jan-53,1030
Feb-53,1032
Mar-53,1126
Apr-53,1285
May-53,1468
Jun-53,1637
Jul-53,1611
Aug-53,1608
Sep-53,1528
Oct-53,1420
Nov-53,1119
Dec-53,1013
